RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1109,1,1,1-8,
1109,1,3,1-8,
1109,1,5,1-8,
1109,1,7,1-8,
1109,1,9,1-8,
1109,1,11,1-8,
1109,1,2,1-8,
1109,1,4,1-8,
1109,1,6,1-8,
1109,1,8,1-8,
1109,1,10,1-8,
1109,1,12,1-8,
1110,2,1-28,1-4,
1110,2,1-28,5-8,
1102,3,1-44,1-4,
1103,3,1-44,5-8,
1104,4,1-64,1-4,
1105,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1084,1-3,23-56,1-2,1
1111,1-3,1-22,1-2,1
1112,1-3,1-22,1-2,2
1087,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1098,2,24,4,
1098,2,22,4,
1098,2,12,4,
1098,2,12,3,
1098,2,12,2,
1098,2,8,5,
1098,2,8,6,
1098,2,8,7,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
